Audience Name,Media Channel,GRPs,Cover %,Avg. Freq,Cover,Impressions
ABC1 Adults,Linear TV,5,4.21,1.19,1210838.1,1440897.339
ABC1 Adults,Linear TV,10,7.9,1.27,2272119,2885591.13
ABC1 Adults,Linear TV,15,11.16,1.34,3209727.6,4301034.984
ABC1 Adults,Linear TV,20,14.07,1.42,4046672.7,5746275.234
ABC1 Adults,Linear TV,25,16.69,1.5,4800210.9,7200316.35
ABC1 Adults,Linear TV,30,19.05,1.57,5478970.5,8601983.685
ABC1 Adults,Linear TV,35,21.2,1.65,6097332,10060597.8
ABC1 Adults,Linear TV,40,23.15,1.73,6658171.5,11518636.7
ABC1 Adults,Linear TV,45,24.95,1.8,7175869.5,12916565.1
ABC1 Adults,Linear TV,50,26.6,1.88,7650426,14382800.88
ABC1 Adults,Linear TV,55,28.13,1.96,8090469.3,15857319.83
ABC1 Adults,Linear TV,60,29.55,2.03,8498875.5,17252717.27
ABC1 Adults,Linear TV,65,30.87,2.11,8878520.7,18733678.68
ABC1 Adults,Linear TV,70,32.1,2.18,9232281,20126372.58
ABC1 Adults,Linear TV,75,33.25,2.26,9563032.5,21612453.45
ABC1 Adults,Linear TV,80,34.33,2.33,9873651.3,23005607.53
ABC1 Adults,Linear TV,85,35.34,2.4,10164137.4,24393929.76
ABC1 Adults,Linear TV,90,36.3,2.48,10440243,25891802.64
ABC1 Adults,Linear TV,95,37.21,2.55,10701968.1,27290018.66
ABC1 Adults,Linear TV,100,38.06,2.63,10946436.6,28789128.26
ABC1 Adults,Linear TV,110,39.64,2.77,11400860.4,31580383.31
ABC1 Adults,Linear TV,120,41.07,2.92,11812142.7,34491456.68
ABC1 Adults,Linear TV,130,42.37,3.07,12186035.7,37411129.6
ABC1 Adults,Linear TV,140,43.56,3.21,12528291.6,40215816.04
ABC1 Adults,Linear TV,150,44.65,3.36,12841786.5,43148402.64
ABC1 Adults,Linear TV,160,45.66,3.5,13132272.6,45962954.1
ABC1 Adults,Linear TV,170,46.59,3.65,13399749.9,48909087.14
ABC1 Adults,Linear TV,180,47.46,3.79,13649970.6,51733388.57
ABC1 Adults,Linear TV,190,48.27,3.94,13882934.7,54698762.72
ABC1 Adults,Linear TV,200,49.03,4.08,14101518.3,57534194.66
ABC1 Adults,Linear TV,210,49.74,4.22,14305721.4,60370144.31
ABC1 Adults,Linear TV,220,50.41,4.36,14498420.1,63213111.64
ABC1 Adults,Linear TV,230,51.04,4.51,14679614.4,66205060.94
ABC1 Adults,Linear TV,240,51.64,4.65,14852180.4,69062638.86
ABC1 Adults,Linear TV,250,52.21,4.79,15016118.1,71927205.7
ABC1 Adults,Linear TV,260,52.74,4.93,15168551.4,74780958.4
ABC1 Adults,Linear TV,270,53.25,5.07,15315232.5,77648228.78
ABC1 Adults,Linear TV,280,53.74,5.21,15456161.4,80526600.89
ABC1 Adults,Linear TV,290,54.2,5.35,15588462,83398271.7
ABC1 Adults,Linear TV,300,54.64,5.49,15715010.4,86275407.1
ABC1 Adults,Linear TV,320,55.47,5.77,15953726.7,92053003.06
ABC1 Adults,Linear TV,340,56.23,6.05,16172310.3,97842477.32
ABC1 Adults,Linear TV,360,56.85,6.33,16350628.5,103499478.4
ABC1 Adults,Linear TV,380,57.44,6.62,16520318.4,109364507.8
ABC1 Adults,Linear TV,400,57.99,6.9,16678503.9,115081676.9
ABC1 Adults,Linear TV,420,58.51,7.18,16828061.1,120825478.7
ABC1 Adults,Linear TV,440,59,7.46,16968990,126588665.4
ABC1 Adults,Linear TV,460,59.46,7.74,17101290.6,132363989.2
ABC1 Adults,Linear TV,480,59.9,8.01,17227839,137994990.4
ABC1 Adults,Linear TV,500,60.32,8.29,17348635.2,143820185.8
ABC1 Adults,Linear TV,550,61.28,8.97,17624740.8,158093925
ABC1 Adults,Linear TV,600,62.14,9.66,17872085.4,172644345
ABC1 Adults,Linear TV,650,62.9,10.33,18090669,186876610.8
ABC1 Adults,Linear TV,700,63.58,11.01,18286243.8,201331544.2
